team1,team2,toss_winner,toss_decision,winner,venue
Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,Mumbai Indians,Brabourne Stadium
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,Eden Gardens
Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Delhi Daredevils,Feroz Shah Kotla
Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha"
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Rajasthan Royals,Sawai Mansingh Stadium
Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens
Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,M Chinnaswamy Stadium
Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha"
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium
Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,Feroz Shah Kotla
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,Sawai Mansingh Stadium
Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha"
Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,Brabourne Stadium
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,Sawai Mansingh Stadium
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk"
Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,Himachal Pradesh Cricket Association Stadium
Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,M Chinnaswamy Stadium
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,Eden Gardens
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium
Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers,Feroz Shah Kotla
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,Eden Gardens
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,Dr DY Patil Sports Academy
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,Dr DY Patil Sports Academy
Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore,Dr DY Patil Sports Academy
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,Dr DY Patil Sports Academy
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,Nehru Stadium
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,Feroz Shah Kotla
Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Pune Warriors,Dr DY Patil Sports Academy
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens
